排行榜,游戏名字,目前游戏价格?,游戏评价,游戏页面链接
1,Age of Empires IV, 248.00,"特别好评,2,955 篇用户的游戏评测中有 82% 为好评。",https://store.steampowered.com/app/1466860/Age_of_Empires_IV/?snr=1_7_7_globaltopsellers_150_1
2,Age of Empires IV, 248.00,"特别好评,2,955 篇用户的游戏评测中有 82% 为好评。",https://store.steampowered.com/app/1466860/Age_of_Empires_IV/?snr=1_7_7_globaltopsellers_150_1
3,喋血复仇, 298.00,"多半好评,11,315 篇用户的游戏评测中有 77% 为好评。",https://store.steampowered.com/app/924970/_/?snr=1_7_7_globaltopsellers_150_1
4,New World, 149.00,"多半好评,137,013 篇用户的游戏评测中有 75% 为好评。",https://store.steampowered.com/app/1063730/New_World/?snr=1_7_7_globaltopsellers_150_1
5,Phasmophobia,39.00,"好评如潮,279,945 篇用户的游戏评测中有 97% 为好评。",https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_globaltopsellers_150_1
6,The Forest,28.00,"特别好评,261,015 篇用户的游戏评测中有 94% 为好评。",https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_globaltopsellers_150_1
7,Red Dead Redemption 2,166.83,"特别好评,188,945 篇用户的游戏评测中有 86% 为好评。",https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_globaltopsellers_150_1
8,极限竞速：地平线 5, 248.00,暂无评价！,https://store.steampowered.com/app/1551360/_5/?snr=1_7_7_globaltopsellers_150_1
9,Marvel's Guardians of the Galaxy, 359.00,"特别好评,1,620 篇用户的游戏评测中有 92% 为好评。",https://store.steampowered.com/app/1088850/Marvels_Guardians_of_the_Galaxy/?snr=1_7_7_globaltopsellers_150_1
10,赛博朋克 2077,199.66,"多半好评,386,328 篇用户的游戏评测中有 76% 为好评。",https://store.steampowered.com/app/1091500/_2077/?snr=1_7_7_globaltopsellers_150_1
11,The Witcher 3: Wild Hunt - Game of the Year Edition,31.60,"好评如潮,524,123 篇用户的捆绑包游戏评测中有 97% 为好评。",https://store.steampowered.com/sub/124923/?snr=1_7_7_globaltopsellers_150_1
12,Inscryption,79.20,"好评如潮,11,956 篇用户的游戏评测中有 95% 为好评。",https://store.steampowered.com/app/1092790/Inscryption/?snr=1_7_7_globaltopsellers_150_1
13,CS:GO - 激流大行动, 96.00,暂无评价！,https://store.steampowered.com/app/1766730/CSGO/?snr=1_7_7_globaltopsellers_150_1
14,DEATHLOOP,131.34,"多半好评,8,744 篇用户的游戏评测中有 76% 为好评。",https://store.steampowered.com/app/1252330/DEATHLOOP/?snr=1_7_7_globaltopsellers_150_1
15,Terraria,18.00,"好评如潮,652,090 篇用户的游戏评测中有 98% 为好评。",https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_globaltopsellers_150_1
16,Days Gone,186.93,"特别好评,14,762 篇用户的游戏评测中有 92% 为好评。",https://store.steampowered.com/app/1259420/Days_Gone/?snr=1_7_7_globaltopsellers_150_1
17,Rust,107.87,"特别好评,550,861 篇用户的游戏评测中有 87% 为好评。",https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_globaltopsellers_150_1
18,糖豆人：终极淘汰赛,29.00,"特别好评,348,757 篇用户的游戏评测中有 83% 为好评。",https://store.steampowered.com/app/1097150/_/?snr=1_7_7_globaltopsellers_150_1
19,Grand Theft Auto V：豪华版, 58.46,"特别好评,1,101,663 篇用户的捆绑包游戏评测中有 84% 为好评。",https://store.steampowered.com/bundle/5699/Grand_Theft_Auto_V/?snr=1_7_7_globaltopsellers_150_1
20,《质量效应》传奇版,163.68,"特别好评,17,789 篇用户的游戏评测中有 92% 为好评。",https://store.steampowered.com/app/1328670/_/?snr=1_7_7_globaltopsellers_150_1
21,Hades,56.00,"好评如潮,150,220 篇用户的游戏评测中有 98% 为好评。",https://store.steampowered.com/app/1145360/Hades/?snr=1_7_7_globaltopsellers_150_1
